country,inflation_rate,exports_gdp_share,gdp_growth_rate,gdp_per_capita,adult_literacy_rate,primary_school_enrolment_rate,education_expenditure_gdp_share,measles_immunisation_rate,health_expenditure_gdp_share,income_inequality,unemployment_rate,life_expectancy,total_population
Kosovo,11.5805104542013,38.6256570148792,4.27849895827543,5290.94747224687,,,,,,38.3,,77.623,1768096.0
Kuwait,3.98064961990316,60.4485945397978,6.75866704650672,39981.7690981957,,,6.58236499988891,99.0,4.26875782,,2.174,80.5878048780488,4589643.0
Kyrgyz Republic,13.9229093174176,46.3372718307792,8.96750520041391,1739.72018344174,,96.7442875061351,7.16884382244099,94.0,4.92258883,26.4,4.043,72.0487804878049,6975220.0
Lao PDR,22.9562225132056,,2.70742652643155,2046.40440255621,,95.6988495024876,1.46083440434069,65.0,2.01825476,,1.209,68.715,7559007.0
Latvia,17.3102830198815,77.4780077659979,1.80677198008065,20227.2307431581,,99.41796875,4.31920003890991,96.0,7.62168407,33.7,6.815,74.2780487804878,1879383.0
Lebanon,171.205491336641,34.8287792460469,-0.621678970663112,3654.35845534878,,76.4541233193651,1.33151427628711,67.0,5.73500204,35.3,11.6,78.003,5744489.0
Lesotho,8.27180389943026,46.5063823361123,2.38778020186284,1030.12579628833,,83.6343022439557,,84.0,12.65127754,,16.688,56.812,2286110.0
Liberia,7.59298486560314,,4.80810517290655,744.617175237387,,66.5939255094706,2.2760960068702,79.0,13.47386169,,2.977,61.934,5373294.0
Libya,4.51030149235701,91.9809235078212,-8.25163004105288,5986.63694851258,,,,73.0,4.65005827,,19.282,74.462,7223805.0
Liechtenstein,,,,186821.881757157,,,,,,,,84.1219512195122,39493.0
Lithuania,19.7050461518394,86.7798492943433,2.53752574011534,25085.784063499,,101.905830383301,4.25285005569458,87.0,7.24335003,36.6,5.955,75.6439024390244,2831639.0
Luxembourg,6.33600807777913,222.308456163103,-1.09505351160836,123719.658915996,,99.484260559082,3.70599007606506,99.0,5.55154753,34.1,4.588,82.9463414634147,653103.0
"Macao SAR, China",1.04502802369957,84.3901737400991,-19.6093449325728,36909.9564090312,,84.9676674364896,6.05706977844238,,,,2.482,83.0804878048781,677300.0
Madagascar,8.16059031991847,30.5432948746184,4.15609778380812,503.514533472879,,132.887817840118,3.06772823003204,44.0,3.25023246,,3.186,63.068,30437261.0
Malawi,20.953969729969,,0.921115069005936,604.269751184515,,126.587758962955,2.74888371105811,82.0,6.50023508,,5.037,66.037,20568728.0
Malaysia,3.37869862549933,76.8501886436659,8.86182187578046,11748.0919307944,95.7699966430664,89.7872630978958,3.49933781956284,96.0,3.90591931,,3.93,75.444,34695493.0
Maldives,2.33314337624572,82.6709256667894,13.8260895306814,11786.0091545343,,96.0147426502285,4.67344315449896,98.0,9.65276241,,4.419,80.76,524106.0
Mali,9.62147608489068,26.1689671523921,3.5082827896139,969.72220560562,,,4.04512227529275,69.0,3.67284775,,2.387,60.035,23072640.0
Malta,6.15375621933036,128.410459632562,4.26931853012293,36224.2819955817,,93.5346603393555,4.71973991394043,96.0,9.52376747,34.6,2.921,82.4487804878049,531113.0
Marshall Islands,,40.8176400947119,-1.11806797853311,6322.82855503156,,108.975506359207,7.70088005065918,81.0,11.73604298,,,66.725,40077.0
Mauritania,9.52526628622842,39.737807822992,6.79600510182286,1960.35240077424,,,1.38966000080109,84.0,4.48389912,,10.531,68.281,4875637.0
Mauritius,10.7737512242899,49.4893047706387,8.69306675264066,10223.7882316574,,,4.84085988998413,98.0,5.82381678,,6.322,73.5146341463415,1262523.0
Mexico,7.89627619168551,42.9460448302063,3.71098893117183,11402.1410374782,95.8486603965766,102.004783630371,4.0658597946167,86.0,5.72145176,43.5,3.256,73.973,128613117.0
"Micronesia, Fed. Sts.",5.40874375479069,21.7488640698477,-2.90586580595669,3710.12448453257,,87.1063321877434,,69.0,10.34470272,,,66.961,112114.0
Moldova,28.7372976766236,41.2264594544499,-4.60000000000001,5744.29618434435,,106.97324544397,6.11053991317749,84.0,6.96505404,25.9,0.897,71.546,2528654.0
Monaco,,,11.0469394271752,226052.001905201,,,1.17105996608734,88.0,3.39779735,,,85.746,38931.0
Mongolia,15.1509728200805,65.0613511558615,5.0327096366527,4993.51487463495,98.7300033569336,93.3473848373298,,94.0,8.85170174,31.4,6.211,71.9007317073171,3433748.0
Montenegro,13.0403036347004,51.5328616489687,6.40668032879275,9990.20444616996,,105.621368408203,,33.0,10.92241859,,14.851,76.1878048780488,623591.0
Morocco,6.65704202759066,44.8118007632888,1.52720357976111,3455.39624023438,,116.554648725847,5.91224674061277,99.0,5.68049145,,9.494,75.161,37329064.0
Mozambique,10.2794018093421,49.8269428040417,4.36445074432608,578.251663751351,61.6778205151772,119.162225223393,5.97607342054314,63.0,8.77717781,49.6,3.596,63.011,32656246.0
Myanmar,,,4.0374934360085,1158.05005034332,,,,75.0,5.20476246,,3.057,66.506,53756787.0
Namibia,6.08128114112416,40.4584718360428,5.39872476224093,4349.79908493314,,120.341925617623,9.3919470845238,89.0,9.29635525,,19.695,64.19,2889662.0
Nauru,,53.8750427878006,2.9515183463878,12896.4341046481,,101.39037322998,5.91827971698113,98.0,18.17031097,,,61.93,11801.0
Nepal,7.6507917679853,6.70239086589236,5.6313145568451,1385.91066274851,,121.234804321367,4.13645081690396,90.0,6.65589333,30.0,10.844,70.087,29715436.0
Netherlands,10.0012078753473,96.4436215813729,5.00723455159611,59123.318556487,,104.215446472168,5.17918014526367,89.0,10.10068321,,3.526,81.6146341463415,17700982.0
New Caledonia,,,3.49999999631376,33516.363085906,,,,,,,10.71,77.698,287123.0
New Zealand,7.17222476016446,24.0473873191656,3.49638686458842,48760.0381935936,,96.5572509765625,5.22557020187378,90.0,10.02858067,,3.297,81.9585365853658,5117100.0
Nicaragua,10.4674244465991,49.8957747358309,3.55029945613975,2322.89053964583,,,3.80001496174069,93.0,8.95364857,,4.961,74.463,6730654.0
Niger,4.22621791916397,26.4030742164705,11.9000000000277,609.745147661683,35.6100006103516,66.2539719118599,3.71231832079626,65.0,4.35259724,,0.418,60.398,25311973.0
Nigeria,18.8471877843274,,3.25168140827093,2139.37478476974,,,0.348516707890877,51.0,4.27090406,33.9,3.821,54.079,223150896.0
North Macedonia,14.2047173195833,72.785399542204,2.75888415332967,7606.2375253797,,97.4866561889648,,71.0,7.6204114,,14.476,74.4248780487805,1831712.0
Northern Mariana Islands,,22.2627737226277,16.6427546628408,23785.754590043,,,,,,,,78.531,46078.0
Norway,5.76412317852275,55.4998207714937,3.24622860260932,109269.520580298,,98.9667587280273,5.45586013793945,96.0,7.94803333,26.9,3.231,82.509756097561,5457127.0
Oman,2.50614250614251,63.2505019129513,7.98570728354278,23223.5829405935,97.3399963378906,89.2455714414171,4.30123996734619,97.0,2.9162159,,3.3,77.911,4730226.0
Pakistan,19.8738599646655,10.5405902721041,4.7781068690358,1538.3228133171,,78.9400248844352,1.97300945756988,82.0,2.90434051,,5.485,67.417,243700667.0
Palau,12.3526638378124,13.4632230934489,-1.31842716655024,14392.2011374514,,92.0141342756184,3.57620133415525,96.0,14.28555965,,,68.922,17759.0
Panama,2.85965128834714,48.1174394920396,10.769665870619,17332.4360742988,,101.563230633345,3.37781000137329,87.0,8.46561432,,8.086,79.324,4400773.0
Papua New Guinea,5.25323922215241,,5.70758404238197,3102.28968594061,87.144148905762,111.086149294969,0.643376920751815,41.0,2.61825109,,2.689,65.274,10203169.0
Paraguay,9.76556667164403,34.3693845850371,0.176038366124061,6205.6259537937,,91.0286415669387,3.39619994163513,54.0,7.73804235,44.6,6.755,72.319,6760464.0
Peru,8.33370630096233,28.8318607701975,2.8090335533015,7350.63034300417,,114.349319458008,3.83315992355347,74.0,6.0930872,40.3,3.85,76.834,33475438.0
Philippines,5.82115811213955,28.3874015457939,7.58098212785563,3548.06930572116,,90.6131438325611,3.57960089528426,76.0,5.15676308,,2.598,69.472,113964338.0
Poland,14.4294507575758,62.3525162455456,5.25545697386036,18891.213529396,,100.594268798828,4.31372976303101,91.0,6.39626455,28.9,2.811,77.1560975609756,36821749.0
Portugal,7.83269124233322,49.4816821962014,6.9858417811997,24620.519556875,,108.103523254395,4.55159997940063,98.0,10.46883011,36.3,6.011,81.6317073170732,10434332.0
Puerto Rico (US),,52.4505967392135,2.95709565499587,35353.6821570014,,,3.86129930773508,,,,6.0,79.427,3220137.0
Qatar,4.99527553740757,68.5984131738821,4.18500970982862,88701.463352273,,94.1971279001544,,99.0,2.18112326,,0.13,81.857,2657333.0
Romania,13.7954887432521,43.3611500953615,3.96530766311717,15557.8826247584,,84.8812789916992,3.2788200378418,83.0,5.7490139,32.3,5.614,75.1536585365854,19048502.0
Russian Federation,,27.7203033526803,-1.43588213859842,15619.6142578125,,100.122558846483,4.05402755323777,97.0,6.91986275,33.9,3.867,72.5456097560976,144236933.0
Rwanda,17.6892095588153,22.4780615146911,8.16120720872912,975.469323979541,78.7600021362305,148.752482099863,4.74623012542725,99.0,7.8792119,,15.084,67.528,13651030.0
Samoa,10.9618822286844,12.2663826209512,-5.30629089966979,3869.46639492144,,103.30974754162,6.15978780645853,82.0,6.3012085,,5.048,71.55,215261.0
San Marino,5.32545321311364,197.412351319317,7.89844145767604,54264.570495898,99.9100036621094,93.9375,2.89753007888794,91.0,7.40650225,,,85.708,33755.0
Sao Tome and Principe,18.0056351122841,,0.168698492216564,2389.73729784737,,,5.19392101712613,82.0,7.46419811,,8.992,69.237,226305.0
Saudi Arabia,2.47407371925371,35.9850098955522,12.0005874752929,38510.2276211037,,102.13902539092,,98.0,4.62462378,,5.589,77.31,32175224.0
Senegal,9.69681899081074,26.6991642240508,3.85043193735768,1574.0281059306,,84.2733198273584,5.98753976821899,87.0,4.06358385,,2.837,67.788,17651103.0
Serbia,11.9815117344702,60.7493785262136,2.63098644408841,10022.9688543402,99.3399963378906,96.6279678344727,3.08255004882812,81.0,9.65742779,32.8,8.439,75.2365853658537,6664449.0
Seychelles,2.62603632851287,90.1216033127767,12.7104688902836,16836.6721895387,,97.7654776547765,3.65858904774836,98.0,4.2375164,,,73.7024390243903,119878.0
Sierra Leone,27.2082883814653,16.7726115326261,5.3135546141915,860.774590932595,,163.173554667055,4.91130018234253,90.0,7.94752312,,3.175,61.275,8276807.0
Singapore,6.13095418919736,186.114290787201,4.10800021897151,90299.0694637269,,99.5780376637324,2.48891997337341,96.0,4.89702511,,3.591,82.8951219512195,5637022.0
Sint Maarten (Dutch part),,,9.80000111145777,36476.6300833859,,,4.27420508508285,,,,,76.18,42139.0
Slovak Republic,12.774146363761,98.9901091582711,0.437359508569173,21334.6011006572,,100.326721191406,4.65508985519409,95.0,7.73064041,24.1,6.143,76.9658536585366,5431752.0
Slovenia,8.83369886749455,93.9826603175574,2.69923874523828,28373.8382265999,,100.639137268066,5.28065013885498,96.0,9.60507679,24.3,4.011,81.2829268292683,2112076.0
Solomon Islands,5.51812928576935,26.2867431210615,2.40248143622522,2005.4139933198,,,8.48737829731105,90.0,4.82369328,,1.483,70.409,781066.0
"Somalia, Fed. Rep.",,17.6819185644341,2.72711429582147,573.128092472349,54.1199989318848,,7.21674775437e-06,69.0,2.62183189,,19.05,53.931,17801897.0
South Africa,7.03987272546481,33.3714495540545,1.91147996033504,6523.41097815853,,102.402386766287,6.15599012374878,86.0,8.77086639,,33.268,65.454,62378410.0
South Sudan,-6.68732094212666,,,,,,,72.0,6.76125622,,12.545,57.203,11021177.0
Spain,8.39057634118634,39.7551303881907,6.17931219966114,30270.2687017458,,102.445991516113,4.58553981781006,97.0,9.73828793,33.6,12.917,83.1341463414634,47786102.0
Sri Lanka,49.7211021114328,21.5595624620967,-7.34919301306745,3342.63650253855,92.4899978637695,92.9846466705678,1.20397218661186,99.0,4.36269855,,4.528,77.3,22181000.0
St. Kitts and Nevis,2.66817533111249,,10.3424040546025,20985.0112160159,,127.689992475545,3.5579615526858,95.0,5.56801701,,,70.313,46709.0
St. Lucia,6.37814695133356,,20.3884431828414,13103.8243147472,,102.964202074272,4.64235019683838,81.0,5.01938295,,15.934,72.67,178781.0
St. Martin (French part),,,,,,,,,,,,80.236,28870.0
St. Vincent and the Grenadines,5.66009779226555,,3.1108330034352,9693.55867833025,,,7.07575034584772,99.0,4.68767738,,19.417,71.191,102046.0
Sudan,138.808460241759,1.57116183055586,-0.957816591119183,1046.24084472656,,,,80.0,4.61874437,,7.53,65.695,49383346.0
Suriname,52.446027276241,,2.40622235601218,6084.43876736445,,95.2972632875249,3.43460841988051,74.0,5.91760969,39.2,8.16,73.254,623164.0
Sweden,8.36929098869185,53.8802781349213,1.45928849980044,55296.9371472535,,116.425392150879,7.31909990310669,93.0,10.49857044,31.6,7.392,83.0585365853659,10486941.0
Switzerland,2.8350279864446,76.1397677689787,3.04406102969423,94394.5106803525,,101.363067626953,4.92419004440308,96.0,11.70653343,33.8,4.122,83.6048780487805,8777088.0
Syrian Arab Republic,,6.81012687776418,0.732781301861365,1051.67149587463,,72.1296768188477,,52.0,4.15098715,26.6,13.268,72.79,22462173.0
Tajikistan,,16.3531240454317,8.00000033846364,1052.17949484894,,99.9668886016055,5.39829770599001,98.0,7.62917423,39.5,11.634,71.562,10182222.0
